"X","Lon.mean","Lon.sd","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.mean","Lat.sd","Lat.50.","Lat.2.5.","Lat.97.5.","time","rise","mig","site","id","state","dist.breed","winter","Lon.mean.t","vwnd.surface","uwnd.surface","wnd.speed.surface"
1,-145.5,0,-145.5,-145.5,-145.5,65.5,0,65.5,65.5,65.5,2009-08-03 09:18:15,FALSE,"stay",NA,1,"stopping",5.13251702206144,FALSE,-145.5,9999,9999,9999
2,-145.496815728923,0.0268920635231864,-145.496758697771,-145.54863397806,-145.444011204501,65.5157213149843,0.00609666904282044,65.514925610587,65.506307466679,65.5297989885306,2009-08-03 10:08:02,TRUE,"stay",NA,2,"stopping",5.3269625828347,FALSE,-145.496815728923,9999,9999,9999
3,-143.482015588703,1.56478806387707,-143.545042167715,-146.793769071289,-140.756456277872,65.5892099668183,0.0853826329134123,65.581583615281,65.4539229042713,65.770779908024,2009-08-04 08:57:52,FALSE,"mig",0,3,"migrating",88.7081158198646,FALSE,-143.482015588703,1.41012940674612,-2.30446253265893,2.7016684674843
4,-143.481132589535,1.56496805771664,-143.542504728486,-146.787817478497,-140.760537012932,65.5877187077949,0.0864304769261325,65.5803861655627,65.4504519177927,65.7720112875675,2009-08-04 10:28:16,TRUE,"mig",0,4,"migrating",88.7324306549518,FALSE,-143.481132589535,9999,9999,9999
5,-150.290611042467,3.62513589923966,-150.812150280323,-157.44609234937,-144.235473156626,64.2373694221425,0.568235816984963,64.2529405808599,63.3584386515086,65.3495674256,2009-08-05 08:19:04,FALSE,"mig",0,5,"migrating",271.505119619171,FALSE,-150.290611042467,1.52911595660512,2.75504146912259,3.15094416093487
6,-150.290298807974,3.62277411004979,-150.813121888259,-157.425737939832,-144.228773905789,64.237511919931,0.56846353939834,64.2532892609512,63.3557139824049,65.3493466870274,2009-08-05 12:03:29,TRUE,"mig",0,6,"migrating",271.483729350211,FALSE,-150.290298807974,9999,9999,9999
7,-146.35824769749,3.33385526521635,-145.688658325423,-156.172053511171,-141.461716322202,62.7207277412948,0.862598734618501,62.5262250590716,61.6754323295686,64.9176713979717,2009-08-06 07:27:25,FALSE,"mig",0,7,"migrating",313.268502804645,FALSE,-146.35824769749,0.347600843352017,2.47892600209824,2.50317807400469
8,-146.354630497018,3.33817653403362,-145.674905513254,-156.172610134369,-141.441050728633,62.7191941202279,0.864696710274833,62.5244294037647,61.668341477256,64.911324912761,2009-08-06 12:11:17,TRUE,"mig",0,8,"migrating",313.411226001959,FALSE,-146.354630497018,9999,9999,9999
9,-148.340235084269,2.57725707017732,-148.340088314837,-153.166437865392,-143.415632362461,62.6355608111716,0.784795328697267,62.6448165812543,61.1494083561949,64.1441950424689,2009-08-07 07:38:46,FALSE,"mig",0,9,"migrating",350.100880258375,FALSE,-148.340235084269,2.22851067952825,1.60773726242561,2.74792266153239
10,-148.47025029771,2.47733473353363,-148.473721179826,-153.064442427031,-143.80174920396,62.7270843746628,0.751029313422245,62.7536302037815,61.2923642543439,64.1511355823755,2009-08-08 07:39:50,FALSE,"mig",0,10,"migrating",343.446178077245,FALSE,-148.47025029771,0.534372864815387,0.941178660549911,1.08229923298759
11,-148.04714798018,2.08881146844752,-147.859954582227,-152.585538316624,-144.513483473347,62.3350786103927,0.672465982850643,62.2784750793974,61.2248759116661,63.8049042548063,2009-08-08 12:24:38,TRUE,"stay",1,11,"stopping",375.949096521857,FALSE,-148.04714798018,9999,9999,9999
12,-148.079958190067,2.12403161299797,-147.923541978426,-152.69524691784,-144.474629080884,62.2802536365834,0.703237376144001,62.2151845348034,61.1159494953776,63.8226956402592,2009-08-09 07:05:38,FALSE,"stay",1,12,"stopping",382.280098895787,FALSE,-148.079958190067,-2.0416183532219,0.0483718195359789,2.04219130669428
13,-152.01296611543,1.9918542136984,-152.243292803788,-155.547162529216,-147.546329516742,62.2827968227318,0.657241799037984,62.180218550537,61.2929450115667,63.800268503111,2009-08-09 12:56:53,TRUE,"stay",1,13,"stopping",483.660399025765,FALSE,-152.01296611543,9999,9999,9999
14,-152.079380864686,1.99859583964665,-152.309379118408,-155.544868206179,-147.594004501607,62.3108903484924,0.655918820125681,62.2179542621809,61.2952119669199,63.8092336201685,2009-08-10 07:38:26,FALSE,"stay",1,14,"stopping",483.439001192023,FALSE,-152.079380864686,-2.37814937892962,-0.724803748816592,2.48614861639483
15,-152.611252669564,2.64144174210374,-152.824259237226,-157.045438040241,-146.97811914686,61.895574798447,1.11496777663902,61.866489322974,59.8667761361508,64.0901626457583,2009-08-10 13:36:53,TRUE,"stay",1,15,"stopping",536.875091314711,FALSE,-152.611252669564,9999,9999,9999
16,-152.548573781453,2.62819973069918,-152.747327061022,-156.99324415777,-146.872350361502,61.9131421335031,1.10020560249983,61.8735469541994,59.8896130329546,64.0997178999557,2009-08-11 07:28:38,FALSE,"stay",1,16,"stopping",533.294272118791,FALSE,-152.548573781453,-4.62868275484615,0.395981503587996,4.64558988678445
17,-150.443380721729,2.16000317697449,-150.66687528431,-154.181929825667,-145.53740756521,62.7150027512615,0.802966435743435,62.6578790330111,61.2920852572506,64.4965373613297,2009-08-11 13:26:53,TRUE,"stay",1,17,"stopping",395.990226497283,FALSE,-150.443380721729,9999,9999,9999
18,-150.338424027995,2.10094497953691,-150.562243754304,-153.987280693054,-145.545400622292,62.7642126932709,0.769574154062389,62.6860349530552,61.4436437716739,64.522880953299,2009-08-12 07:27:26,FALSE,"stay",1,18,"departing",388.39593783643,FALSE,-150.338424027995,-0.360125603318424,-3.05616056813204,3.07730529333224
19,-147.736229014483,1.27849609009508,-147.607737155548,-150.706800175509,-145.536320736858,63.5910918323956,0.392910112188978,63.536711480732,62.9743528167396,64.4880837708492,2009-08-12 12:22:50,TRUE,"stay",1,19,"stopping",240.614698678063,FALSE,-147.736229014483,9999,9999,9999
20,-147.75900491906,1.29837335206419,-147.609553220886,-150.753882051516,-145.529223272333,63.5371806230584,0.41149779283134,63.4743120343963,62.8967117131337,64.5007140865127,2009-08-13 07:19:41,FALSE,"mig",0,20,"migrating",246.493897789598,FALSE,-147.75900491906,3.02395418506619,0.786076936636314,3.12445449057765
21,-148.959532874315,2.3620449867283,-149.158173139719,-153.163807190357,-143.767538942049,62.1754582619496,0.855786895690207,62.0559474406445,60.7181314820479,64.1078456216763,2009-08-13 13:06:53,TRUE,"mig",0,21,"migrating",409.87852582492,FALSE,-148.959532874315,9999,9999,9999
