"X","Lon.mean","Lon.sd","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.mean","Lat.sd","Lat.50.","Lat.2.5.","Lat.97.5.","time","rise","mig","site","id","state","dist.breed","winter","Lon.mean.t","vwnd.surface","uwnd.surface","wnd.speed.surface"
172,-317.877434646527,1.1224320783689,-317.894608395367,-320.080043379561,-315.707981139701,33.7797717045136,2.39526628292753,33.8582171063556,28.9803689768336,38.078698544409,2013-11-02 14:42:56,FALSE,"stay",6,172,"stopping",8607.89710173052,FALSE,42.122565353473,0.572539243291366,0.756516123356835,0.948745397884756
173,-317.694505778703,1.08777453790225,-317.71437268597,-320.020736156678,-315.591383201234,33.8750785210254,2.47359794521424,33.8454092976205,29.4775802611914,38.1684231767605,2013-11-03 03:08:58,TRUE,"stay",6,173,"stopping",8596.06780262049,FALSE,42.305494221297,9999,9999,9999
174,-317.691272075439,1.08597458464865,-317.706563188209,-319.992624685742,-315.611274173105,33.8722505377422,2.47561573915695,33.8462714925431,29.4912665254846,38.1837564975686,2013-11-03 14:42:50,FALSE,"stay",6,174,"stopping",8596.35760930736,FALSE,42.308727924561,-0.693696119576541,1.41818270229739,1.57875155848255
175,-317.943711460267,1.28482573139129,-317.966466811041,-320.230849538363,-315.330927880399,32.2527071157776,2.29008051427535,32.3582458407823,27.5495233534902,36.5413718432049,2013-11-04 03:08:13,TRUE,"stay",6,175,"stopping",8777.24284697167,FALSE,42.056288539733,9999,9999,9999
176,-317.944079694021,1.28587855389354,-317.951076720902,-320.264423784671,-315.331732289498,32.2502756845079,2.29073024261163,32.3581954956931,27.5461983944528,36.5164621851313,2013-11-04 14:42:50,FALSE,"stay",6,176,"stopping",8777.51430938222,FALSE,42.055920305979,-0.168921325436211,-1.60388923627771,1.61276008644641
177,-317.303404065752,1.62949385573489,-317.315166453248,-320.127836540199,-314.291523264517,30.3576126903373,2.54358881145786,30.5278424149435,24.9527393913976,34.773653865464,2013-11-05 03:08:12,TRUE,"stay",6,177,"stopping",8982.08558569035,FALSE,42.696595934248,9999,9999,9999
178,-317.296885173411,1.62761147777383,-317.297076944525,-320.141043411278,-314.276809243804,30.3492363134173,2.54793320369605,30.524573476412,24.923599637418,34.7617798827297,2013-11-05 14:37:46,FALSE,"stay",6,178,"departing",8982.96226802922,FALSE,42.703114826589,-0.923279287700531,-5.24028265918606,5.32099680428986
179,-318.974099340352,1.20786279649261,-318.993893675447,-321.159425603168,-316.580446423848,26.502254719421,2.46417696443913,26.7771069140051,21.1743485225178,30.5330960626242,2013-11-06 03:08:15,TRUE,"stay",6,179,"stopping",9420.11170808925,FALSE,41.025900659648,9999,9999,9999
180,-318.970357952353,1.21253519812793,-318.976271168885,-321.182323831468,-316.595396245464,26.4917187322891,2.46652333210359,26.7760379800088,21.1968508649288,30.4981430838955,2013-11-06 14:52:42,FALSE,"mig",0,180,"migrating",9421.25139152358,FALSE,41.029642047647,3.17685592874388,-1.1432060461417,3.37628992474433
181,-320.172040799633,1.68510065991485,-320.296677496275,-323.007912467598,-316.641590886427,22.850331512273,3.21470875379436,23.4547902846424,14.5440391510811,27.578616962643,2013-11-07 03:18:19,TRUE,"mig",0,181,"migrating",9831.47586602112,FALSE,39.827959200367,9999,9999,9999
