"X","Lon.mean","Lon.sd","Lon.50.","Lon.2.5.","Lon.97.5.","Lat.mean","Lat.sd","Lat.50.","Lat.2.5.","Lat.97.5.","time","rise","mig","site","id","state","dist.breed","winter","Lon.mean.t","vwnd.surface","uwnd.surface","wnd.speed.surface"
1,-145.5,0,-145.5,-145.5,-145.5,65.5,0,65.5,65.5,65.5,2013-08-03 08:39:22,FALSE,"stay",NA,1,"stopping",26.6085175713458,FALSE,-145.5,9999,9999,9999
2,-145.500898516523,0.207449844629091,-145.502749065239,-145.899662786616,-145.090404534622,64.7878912942706,0.0109881781638883,64.7911622519444,64.7576410082549,64.7988789693923,2013-08-03 11:54:55,TRUE,"stay",NA,2,"stopping",72.1334631591188,FALSE,-145.500898516523,9999,9999,9999
3,-154.643768646801,2.87301321530352,-154.749233462993,-160.460708570199,-146.175825608272,62.7687255133181,0.444741504126572,62.6323468303678,62.2291408845043,63.9416934377989,2013-08-04 08:34:22,FALSE,"mig",0,3,"migrating",512.118072055988,FALSE,-154.643768646801,10.250770456582,-1.42112849689145,10.3488115819263
4,-154.643902353869,2.87511045137937,-154.752687919125,-160.461261030773,-146.178813719752,62.7691662347048,0.444528399909238,62.6324575914557,62.2287667925398,63.9429585797104,2013-08-04 12:15:37,TRUE,"mig",0,4,"migrating",512.092708197416,FALSE,-154.643902353869,9999,9999,9999
5,-152.046283932677,1.50497182836466,-152.31463521192,-154.781930967811,-148.519256235671,63.7630163615182,0.306992573655195,63.7000249886379,63.373079352478,64.5093404679592,2013-08-05 08:44:03,FALSE,"mig",0,5,"migrating",341.302008638892,FALSE,-152.046283932677,2.87148577586632,0.0426721294309524,2.87180282603677
6,-152.04491483822,1.50426877868321,-152.306482675381,-154.784578978614,-148.522753620979,63.7609062217293,0.308728783658472,63.6996226409083,63.3585817570801,64.5101023956303,2013-08-05 11:50:33,TRUE,"mig",0,6,"migrating",341.381405010388,FALSE,-152.04491483822,9999,9999,9999
7,-150.824985900864,2.61422318493095,-151.668647163533,-154.542593615312,-145.133584496424,63.4648373167793,0.483243061518492,63.3401744018141,62.8480481757245,64.6779727385089,2013-08-06 08:24:29,FALSE,"mig",0,7,"migrating",316.143571090302,FALSE,-150.824985900864,1.0939139256626,0.083337114748585,1.09708374860499
8,-150.824984449248,2.61394943285832,-151.665512063554,-154.542008691561,-145.128621624851,63.4641282111005,0.483594827524889,63.3394569958319,62.8401443911708,64.6877667570171,2013-08-06 12:04:44,TRUE,"stay",1,8,"stopping",316.199491532059,FALSE,-150.824984449248,9999,9999,9999
9,-148.539564730591,2.44774735238014,-148.382079449097,-153.180321096504,-144.373788372022,64.0889946155707,0.447201487936688,64.1244923706623,63.2681958114641,64.9162448372797,2013-08-07 08:03:44,FALSE,"stay",1,9,"stopping",188.906535849887,FALSE,-148.539564730591,1.37391776033407,0.33604173846464,1.41441650943126
10,-148.540289528067,2.44829534590208,-148.387395553682,-153.170527301066,-144.360437484389,64.0888611205323,0.447834615981039,64.1238350415314,63.2649590281283,64.9263346491315,2013-08-07 11:40:37,TRUE,"stay",1,10,"stopping",188.940139732119,FALSE,-148.540289528067,9999,9999,9999
11,-145.894067462707,1.19426592727509,-145.865976407466,-148.855829967995,-143.479048016655,64.2394531550896,0.240613445380027,64.1956302308168,63.9068960181674,64.8179050852453,2013-08-08 08:08:44,FALSE,"stay",1,11,"stopping",129.197163118048,FALSE,-145.894067462707,1.84529008809454,3.45511041878091,3.9169992998708
12,-145.893454977017,1.19481915474132,-145.868532593253,-148.853145111959,-143.482805401513,64.2398264356877,0.241283629807035,64.1947932974234,63.9070494396313,64.8204197190598,2013-08-08 11:30:37,TRUE,"stay",1,12,"stopping",129.156914454462,FALSE,-145.893454977017,9999,9999,9999
13,-148.724536407167,2.88232647785416,-147.643975390455,-157.009825141318,-145.637885232114,64.9734350408715,0.386169537695427,64.8684898642701,64.4897212524859,65.9380651300568,2013-08-09 08:19:13,FALSE,"stay",1,13,"stopping",135.314731102175,FALSE,-148.724536407167,1.93518670750829,4.34339620316125,4.75500138491592
14,-148.724143253489,2.88270547857015,-147.641550764512,-157.016245085516,-145.623031407394,64.9741690806747,0.387264968528068,64.8704863709381,64.4857408081013,65.9323979386374,2013-08-09 11:29:59,TRUE,"stay",1,14,"stopping",135.267295356827,FALSE,-148.724143253489,9999,9999,9999
15,-143.754014109048,1.28200229795072,-143.641957116169,-146.56114281575,-141.009207541705,64.3937630790994,0.257730094524832,64.348217413086,64.0233325622431,64.9609014114175,2013-08-10 07:49:13,FALSE,"stay",1,15,"stopping",154.918452892783,FALSE,-143.754014109048,3.94255457455721,3.33947864638088,5.1668030931124
16,-143.748352152606,1.28593000577179,-143.638206616414,-146.554516791651,-141.012311565601,64.3921324060913,0.260012670912861,64.348105836959,64.0109960834628,64.9606416894077,2013-08-10 11:30:38,TRUE,"stay",1,16,"stopping",155.237393714185,FALSE,-143.748352152606,9999,9999,9999
17,-148.791052714413,3.5945900729155,-147.522209209282,-156.931267118006,-143.955061949669,65.5722785515632,0.456774260501503,65.4359293003519,65.0158476509431,66.5538867851628,2013-08-11 08:13:45,FALSE,"stay",1,17,"stopping",129.930144798866,FALSE,-148.791052714413,2.59773928581873,2.54474933517265,3.63648162046059
18,-148.790117340147,3.59568753174536,-147.523627659376,-156.913234192784,-143.953491949659,65.5732073928681,0.457442263212557,65.4375060489558,65.0126092902731,66.5457451031142,2013-08-11 11:30:00,TRUE,"stay",1,18,"stopping",129.900676903381,FALSE,-148.790117340147,9999,9999,9999
